rank,name,skillId,source,installCount,detailPath,detailUrl
1855,swift-protocol-di-testing,swift-protocol-di-testing,/affaan-m/everything-claude-code,4918,affaan-m/everything-claude-code/swift-protocol-di-testing,https://skills.sh/affaan-m/everything-claude-code/swift-protocol-di-testing
1856,argent-test-ui-flow,argent-test-ui-flow,/software-mansion/argent,4912,software-mansion/argent/argent-test-ui-flow,https://skills.sh/software-mansion/argent/argent-test-ui-flow
1857,laravel-tdd,laravel-tdd,/affaan-m/everything-claude-code,4912,affaan-m/everything-claude-code/laravel-tdd,https://skills.sh/affaan-m/everything-claude-code/laravel-tdd
1858,continuous-agent-loop,continuous-agent-loop,/affaan-m/everything-claude-code,4905,affaan-m/everything-claude-code/continuous-agent-loop,https://skills.sh/affaan-m/everything-claude-code/continuous-agent-loop
1859,powerpoint,powerpoint,/igorwarzocha/opencode-workflows,4905,igorwarzocha/opencode-workflows/powerpoint,https://skills.sh/igorwarzocha/opencode-workflows/powerpoint
1860,argent-react-native-profiler,argent-react-native-profiler,/software-mansion/argent,4905,software-mansion/argent/argent-react-native-profiler,https://skills.sh/software-mansion/argent/argent-react-native-profiler
1861,indexion-sdd,indexion-sdd,/trkbt10/indexion-skills,4903,trkbt10/indexion-skills/indexion-sdd,https://skills.sh/trkbt10/indexion-skills/indexion-sdd
1862,argent-metro-debugger,argent-metro-debugger,/software-mansion/argent,4901,software-mansion/argent/argent-metro-debugger,https://skills.sh/software-mansion/argent/argent-metro-debugger
1863,argent-native-profiler,argent-native-profiler,/software-mansion/argent,4901,software-mansion/argent/argent-native-profiler,https://skills.sh/software-mansion/argent/argent-native-profiler
1864,indexion-documentation,indexion-documentation,/trkbt10/indexion-skills,4901,trkbt10/indexion-skills/indexion-documentation,https://skills.sh/trkbt10/indexion-skills/indexion-documentation
1865,indexion-refactor,indexion-refactor,/trkbt10/indexion-skills,4900,trkbt10/indexion-skills/indexion-refactor,https://skills.sh/trkbt10/indexion-skills/indexion-refactor
1866,argent-react-native-optimization,argent-react-native-optimization,/software-mansion/argent,4899,software-mansion/argent/argent-react-native-optimization,https://skills.sh/software-mansion/argent/argent-react-native-optimization
1867,argent-create-flow,argent-create-flow,/software-mansion/argent,4895,software-mansion/argent/argent-create-flow,https://skills.sh/software-mansion/argent/argent-create-flow
1868,kotlin-patterns,kotlin-patterns,/affaan-m/everything-claude-code,4889,affaan-m/everything-claude-code/kotlin-patterns,https://skills.sh/affaan-m/everything-claude-code/kotlin-patterns
1869,memory-management,memory-management,/aaron-he-zhu/seo-geo-claude-skills,4887,aaron-he-zhu/seo-geo-claude-skills/memory-management,https://skills.sh/aaron-he-zhu/seo-geo-claude-skills/memory-management
1870,uncodixfy,uncodixfy,/cyxzdev/uncodixfy,4886,cyxzdev/uncodixfy/uncodixfy,https://skills.sh/cyxzdev/uncodixfy/uncodixfy
1871,browser,browser,/browserbase/skills,4885,browserbase/skills/browser,https://skills.sh/browserbase/skills/browser
1872,indexion-segment,indexion-segment,/trkbt10/indexion-skills,4884,trkbt10/indexion-skills/indexion-segment,https://skills.sh/trkbt10/indexion-skills/indexion-segment
1873,indexion-kgf,indexion-kgf,/trkbt10/indexion-skills,4884,trkbt10/indexion-skills/indexion-kgf,https://skills.sh/trkbt10/indexion-skills/indexion-kgf
1874,use-railway,use-railway,/railwayapp/railway-skills,4884,railwayapp/railway-skills/use-railway,https://skills.sh/railwayapp/railway-skills/use-railway
1875,indexion-wiki,indexion-wiki,/trkbt10/indexion-skills,4882,trkbt10/indexion-skills/indexion-wiki,https://skills.sh/trkbt10/indexion-skills/indexion-wiki
1876,indexion-agent-orient,indexion-agent-orient,/trkbt10/indexion-skills,4877,trkbt10/indexion-skills/indexion-agent-orient,https://skills.sh/trkbt10/indexion-skills/indexion-agent-orient
1877,indexion-identity,indexion-identity,/trkbt10/indexion-skills,4877,trkbt10/indexion-skills/indexion-identity,https://skills.sh/trkbt10/indexion-skills/indexion-identity
1878,extract,extract,/tavily-ai/skills,4869,tavily-ai/skills/extract,https://skills.sh/tavily-ai/skills/extract
1879,investor-outreach,investor-outreach,/affaan-m/everything-claude-code,4861,affaan-m/everything-claude-code/investor-outreach,https://skills.sh/affaan-m/everything-claude-code/investor-outreach
1880,security-best-practices,security-best-practices,/openai/skills,4853,openai/skills/security-best-practices,https://skills.sh/openai/skills/security-best-practices
1881,foundation-models-on-device,foundation-models-on-device,/affaan-m/everything-claude-code,4844,affaan-m/everything-claude-code/foundation-models-on-device,https://skills.sh/affaan-m/everything-claude-code/foundation-models-on-device
1882,stock-analysis,stock-analysis,/claude-office-skills/skills,4844,claude-office-skills/skills/stock-analysis,https://skills.sh/claude-office-skills/skills/stock-analysis
1883,websocket-engineer,websocket-engineer,/jeffallan/claude-skills,4843,jeffallan/claude-skills/websocket-engineer,https://skills.sh/jeffallan/claude-skills/websocket-engineer
1884,cad,cad,/earthtojake/text-to-cad,4838,earthtojake/text-to-cad/cad,https://skills.sh/earthtojake/text-to-cad/cad
1885,swift-concurrency-6-2,swift-concurrency-6-2,/affaan-m/everything-claude-code,4837,affaan-m/everything-claude-code/swift-concurrency-6-2,https://skills.sh/affaan-m/everything-claude-code/swift-concurrency-6-2
1886,karpathy-llm-wiki,karpathy-llm-wiki,/astro-han/karpathy-llm-wiki,4836,astro-han/karpathy-llm-wiki/karpathy-llm-wiki,https://skills.sh/astro-han/karpathy-llm-wiki/karpathy-llm-wiki
1887,compose-multiplatform-patterns,compose-multiplatform-patterns,/affaan-m/everything-claude-code,4833,affaan-m/everything-claude-code/compose-multiplatform-patterns,https://skills.sh/affaan-m/everything-claude-code/compose-multiplatform-patterns
1888,ljg-think,ljg-think,/lijigang/ljg-skills,4832,lijigang/ljg-skills/ljg-think,https://skills.sh/lijigang/ljg-skills/ljg-think
1889,home-assistant-best-practices,home-assistant-best-practices,/homeassistant-ai/skills,4830,homeassistant-ai/skills/home-assistant-best-practices,https://skills.sh/homeassistant-ai/skills/home-assistant-best-practices
1890,rust-patterns,rust-patterns,/affaan-m/everything-claude-code,4828,affaan-m/everything-claude-code/rust-patterns,https://skills.sh/affaan-m/everything-claude-code/rust-patterns
1891,figma-use,figma-use,/figma/mcp-server-guide,4826,figma/mcp-server-guide/figma-use,https://skills.sh/figma/mcp-server-guide/figma-use
1892,claude-automation-recommender,claude-automation-recommender,/anthropics/claude-plugins-official,4822,anthropics/claude-plugins-official/claude-automation-recommender,https://skills.sh/anthropics/claude-plugins-official/claude-automation-recommender
1893,migrate-oxlint,migrate-oxlint,/oxc-project/oxc,4792,oxc-project/oxc/migrate-oxlint,https://skills.sh/oxc-project/oxc/migrate-oxlint
1894,visa-doc-translate,visa-doc-translate,/affaan-m/everything-claude-code,4786,affaan-m/everything-claude-code/visa-doc-translate,https://skills.sh/affaan-m/everything-claude-code/visa-doc-translate
1895,performance-reporter,performance-reporter,/aaron-he-zhu/seo-geo-claude-skills,4783,aaron-he-zhu/seo-geo-claude-skills/performance-reporter,https://skills.sh/aaron-he-zhu/seo-geo-claude-skills/performance-reporter
1896,tanstack-router-best-practices,tanstack-router-best-practices,/deckardger/tanstack-agent-skills,4778,deckardger/tanstack-agent-skills/tanstack-router-best-practices,https://skills.sh/deckardger/tanstack-agent-skills/tanstack-router-best-practices
1897,content-refresher,content-refresher,/aaron-he-zhu/seo-geo-claude-skills,4777,aaron-he-zhu/seo-geo-claude-skills/content-refresher,https://skills.sh/aaron-he-zhu/seo-geo-claude-skills/content-refresher
1898,plankton-code-quality,plankton-code-quality,/affaan-m/everything-claude-code,4772,affaan-m/everything-claude-code/plankton-code-quality,https://skills.sh/affaan-m/everything-claude-code/plankton-code-quality
1899,code-maturity-assessor,code-maturity-assessor,/trailofbits/skills,4771,trailofbits/skills/code-maturity-assessor,https://skills.sh/trailofbits/skills/code-maturity-assessor
1900,shopify-use-shopify-cli,shopify-use-shopify-cli,/shopify/shopify-ai-toolkit,4769,shopify/shopify-ai-toolkit/shopify-use-shopify-cli,https://skills.sh/shopify/shopify-ai-toolkit/shopify-use-shopify-cli
1901,nextjs-turbopack,nextjs-turbopack,/affaan-m/everything-claude-code,4767,affaan-m/everything-claude-code/nextjs-turbopack,https://skills.sh/affaan-m/everything-claude-code/nextjs-turbopack
1902,ponytail-audit,ponytail-audit,/dietrichgebert/ponytail,4756,dietrichgebert/ponytail/ponytail-audit,https://skills.sh/dietrichgebert/ponytail/ponytail-audit
1903,ffmpeg,ffmpeg,/digitalsamba/claude-code-video-toolkit,4748,digitalsamba/claude-code-video-toolkit/ffmpeg,https://skills.sh/digitalsamba/claude-code-video-toolkit/ffmpeg
1904,data-analysis,data-analysis,/claude-office-skills/skills,4742,claude-office-skills/skills/data-analysis,https://skills.sh/claude-office-skills/skills/data-analysis
