rank,rankType,officialRank,officialMarketShare,estimatedScore,title,source,libraryId,popularityRank,snippets,tokens,updateUtc,updateAgo,trustScore,verified,benchmarkScore,type,docsRepoUrl,docsSiteUrl,score_popularity,score_snippets,score_tokens,score_trust,score_verified,score_recency
67,estimated,,,0.631344,Anthropic SDK for Python,/anthropics/anthropic-sdk-python,,58,131,23928,2026-03-01T04:41:49.106000Z,3d,8.8,True,84.2,repo,https://github.com/anthropics/anthropic-sdk-python,,0.715359,0.339028,0.388046,0.88,1.0,0.908399
68,estimated,,,0.630422,Oh My OpenCode,/code-yeongyu/oh-my-opencode,,109,303,93890,2026-02-17T12:38:33.787000Z,14d,10,True,58.1,repo,https://github.com/code-yeongyu/oh-my-opencode,,0.655836,0.396951,0.482294,1.0,1.0,0.67123
69,estimated,,,0.626777,Cloudflare Terraform Provider,/cloudflare/terraform-provider-cloudflare,,270,1613,551558,2026-02-18T08:23:51.548000Z,13d,9.3,True,80.9,repo,https://github.com/cloudflare/terraform-provider-cloudflare,,0.569683,0.512866,0.604365,0.93,1.0,0.683824
70,estimated,,,0.624311,ASP.NET Core,/dotnet/aspnetcore.docs,,169,9570,3091131,2026-02-10T17:32:45.326000Z,21d,8.3,,84.2,repo,https://github.com/dotnet/aspnetcore.docs,,0.614241,0.636459,0.723191,0.83,0.0,0.58264
71,estimated,,,0.617484,SpacetimeDB,/clockworklabs/spacetimedb,,425,1808,576365,2026-02-25T00:11:53.494000Z,7d,9.5,True,83.8,repo,https://github.com/clockworklabs/spacetimedb,,0.526463,0.520786,0.607398,0.95,1.0,0.806179
72,estimated,,,0.615962,AndroidX,/androidx/androidx,,557,232075,36658124,2025-10-19T06:32:31.196000Z,4mo,7.6,,58,repo,https://github.com/androidx/androidx,,0.500672,0.857834,0.893694,0.76,0.0,0.180779
73,estimated,,,0.615158,Directus,/directus/docs,,390,1728,613590,2026-02-18T11:01:49.560000Z,13d,9.5,True,80.3,repo,https://github.com/directus/docs,,0.534655,0.517645,0.611713,0.95,1.0,0.685538
74,estimated,,,0.614617,Aiogram,/aiogram/aiogram,,148,1937,609591,2026-03-02T19:09:25.370000Z,1d,8.8,,93.3,repo,https://github.com/aiogram/aiogram,,0.626839,0.525568,0.611262,0.88,0.0,0.954725
75,estimated,,,0.613878,dbt,/dbt-labs/docs.getdbt.com,,424,3549,1455559,2025-12-05T17:39:03.620000Z,2mo,10,True,91,repo,https://github.com/dbt-labs/docs.getdbt.com,,0.526688,0.567596,0.671267,1.0,1.0,0.253196
76,estimated,,,0.606734,Daytona,/daytonaio/daytona,,571,2244,503936,2026-02-25T07:03:02.867000Z,6d,9.5,True,85.7,repo,https://github.com/daytonaio/daytona,,0.498304,0.535778,0.59814,0.95,1.0,0.812412
77,estimated,,,0.604682,CCXT,/ccxt/ccxt,,271,9551,2044462,2026-02-18T02:57:14.638000Z,14d,8.3,,84.8,repo,https://github.com/ccxt/ccxt,,0.569331,0.636321,0.69469,0.83,0.0,0.680306
78,estimated,,,0.604114,Apollo Client,/apollographql/apollo-client,,469,845,251678,2026-03-03T18:53:53.636000Z,10h,9.6,True,79.9,repo,https://github.com/apollographql/apollo-client,,0.517071,0.468016,0.550273,0.96,1.0,0.985758
79,estimated,,,0.596091,CrewAI,/crewaiinc/crewai,,131,2210,623432,2026-02-18T00:33:56.355000Z,14d,7.6,,93.9,repo,https://github.com/crewaiinc/crewai,,0.638415,0.534719,0.61281,0.76,0.0,0.678775
80,estimated,,,0.595369,Azure SDK for JavaScript,/azure/azure-sdk-for-js,,2649,99100,13866437,2025-09-09T20:59:50.353000Z,5mo,9.6,True,73.7,repo,https://github.com/azure/azure-sdk-for-js,,0.351807,0.798752,0.82667,0.96,1.0,0.146095
81,estimated,,,0.594701,Entity Framework Core,/dotnet/entityframework.docs,,181,2854,817601,2026-02-16T18:37:19.040000Z,15d,8.3,,90,repo,https://github.com/dotnet/entityframework.docs,,0.607723,0.552468,0.631503,0.83,0.0,0.660139
82,estimated,,,0.589695,Aiohttp,/aio-libs/aiohttp,,573,735,216110,2026-03-04T04:55:34.360000Z,22m,9.3,True,91.1,repo,https://github.com/aio-libs/aiohttp,,0.497971,0.458344,0.539769,0.93,1.0,0.99948
83,estimated,,,0.588733,Hot Chocolate,/chillicream/graphql-platform,,1188,2552,658700,2026-03-02T15:50:47.719000Z,1d,9.7,True,60.9,repo,https://github.com/chillicream/graphql-platform,,0.428386,0.544705,0.616604,0.97,1.0,0.950553
84,estimated,,,0.588372,Apache Kafka,/apache/kafka,,572,645,276568,2026-03-04T02:56:28.669000Z,2h,9.1,True,62,repo,https://github.com/apache/kafka,,0.498137,0.449288,0.556775,0.91,1.0,0.996734
85,estimated,,,0.587639,Claude Agent SDK for Python,/anthropics/claude-agent-sdk-python,,81,26,9852,2026-03-02T08:40:56.033000Z,1d,8.8,True,80.9,repo,https://github.com/anthropics/claude-agent-sdk-python,,0.683905,0.22884,0.326871,0.88,1.0,0.941646
86,estimated,,,0.587006,Cypress,/cypress-io/cypress-documentation,,1004,2185,639768,2026-02-24T17:55:44.348000Z,7d,9.8,True,91.2,repo,https://github.com/cypress-io/cypress-documentation,,0.444451,0.533929,0.614593,0.98,1.0,0.800559
87,estimated,,,0.586354,HTMX,/bigskysoftware/htmx,,196,578,137146,2025-10-30T07:59:46.191000Z,4mo,9.2,True,90.7,repo,https://github.com/bigskysoftware/htmx,,0.600156,0.441685,0.508417,0.92,1.0,0.193689
88,estimated,,,0.582975,Babylon.js,/babylonjs/documentation,,456,3545,1167743,2026-03-03T17:10:26.191000Z,12h,8.8,,83.7,repo,https://github.com/babylonjs/documentation,,0.519751,0.567517,0.656078,0.88,0.0,0.983436
89,estimated,,,0.582468,Argo CD,/argoproj/argo-cd,,624,1359,453673,2026-02-12T13:41:24.883000Z,19d,9.3,True,76.2,repo,https://github.com/argoproj/argo-cd,,0.489837,0.500977,0.590896,0.93,1.0,0.604224
90,estimated,,,0.580829,DevExtreme,/devexpress/devextreme-documentation,,1071,10501,2476229,2025-10-15T10:41:18.975000Z,4mo,9,True,81.3,repo,https://github.com/devexpress/devextreme-documentation,,0.438284,0.642904,0.7079,0.9,1.0,0.176704
91,estimated,,,0.580347,AWS CLI,/aws/aws-cli,,1644,9420,2169135,2026-01-29T18:40:52.854000Z,1mo,9.6,True,81.8,repo,https://github.com/aws/aws-cli,,0.397368,0.635362,0.698771,0.96,1.0,0.472869
92,estimated,,,0.578983,Ruff,/astral-sh/ruff,,829,3978,1030131,2025-12-21T00:30:54.384000Z,2mo,9.4,True,75,repo,https://github.com/astral-sh/ruff,,0.462732,0.575517,0.647433,0.94,1.0,0.290699
93,estimated,,,0.576934,Cesium,/cesiumgs/cesium,,805,2344,699769,2026-01-23T16:03:33.647000Z,1mo,9.5,True,89.4,repo,https://github.com/cesiumgs/cesium,,0.465535,0.538804,0.620774,0.95,1.0,0.431334
94,estimated,,,0.57632,Dagster,/dagster-io/dagster,,330,3456,943085,2026-02-18T08:57:40.739000Z,13d,8.5,,89.7,repo,https://github.com/dagster-io/dagster,,0.550573,0.565752,0.641347,0.85,0.0,0.68419
95,estimated,,,0.576034,Trafilatura,/adbar/trafilatura,,2269,25379,8904100,2025-09-23T04:49:37.704000Z,5mo,9.3,True,72.8,repo,https://github.com/adbar/trafilatura,,0.366596,0.704172,0.796131,0.93,1.0,0.156234
96,estimated,,,0.573099,RubyLLM,/crmne/ruby_llm,,607,348,97016,2026-03-03T06:58:36.588000Z,22h,9.9,True,90.6,repo,https://github.com/crmne/ruby_llm,,0.492472,0.406536,0.484552,0.99,1.0,0.969927
97,estimated,,,0.573055,Databricks SDK for Python,/databricks/databricks-sdk-py,,1389,3909,1092526,2026-02-09T10:17:54.942000Z,22d,9.6,True,80.9,repo,https://github.com/databricks/databricks-sdk-py,,0.413462,0.574302,0.651488,0.96,1.0,0.568271
98,estimated,,,0.572497,Avalonia,/avaloniaui/avalonia-docs,,297,1216,354548,2026-03-03T06:49:18.509000Z,22h,8.7,,85.3,repo,https://github.com/avaloniaui/avalonia-docs,,0.560608,0.493263,0.573899,0.87,0.0,0.969725
99,estimated,,,0.571179,Docker Compose,/docker/compose,,201,82,22710,2026-02-18T07:20:28.749000Z,13d,9.9,True,84.4,repo,https://github.com/docker/compose,,0.597761,0.306814,0.384444,0.99,1.0,0.683138
100,estimated,,,0.569643,Carbon Design System,/carbon-design-system/carbon,,1152,1194,283740,2026-03-03T04:59:13.069000Z,1d,9.5,True,78.8,repo,https://github.com/carbon-design-system/carbon,,0.431324,0.491997,0.55854,0.95,1.0,0.967334
