rank,rankType,officialRank,officialMarketShare,estimatedScore,title,source,libraryId,popularityRank,snippets,tokens,updateUtc,updateAgo,trustScore,verified,benchmarkScore,type,docsRepoUrl,docsSiteUrl,score_popularity,score_snippets,score_tokens,score_trust,score_verified,score_recency
1,official,1,11.703780790861467,,/vercel/next.js,/vercel/next.js,/vercel/next.js,,,,,,,,,,,,,,,,,
2,official,2,3.546701946941324,,/vercel/ai,/vercel/ai,/vercel/ai,,,,,,,,,,,,,,,,,
3,official,3,3.479839001203744,0.831749,Better Auth,/better-auth/better-auth,/better-auth/better-auth,3,2235,527051,2026-03-06T14:31:35.062000Z,3d,7.6,True,77.4,repo,https://github.com/better-auth/better-auth,,1.0,0.535499,0.69492,0.76,1.0,0.888215
4,official,4,2.862114040638106,0.822513,Shadcn UI,/shadcn-ui/ui,/shadcn-ui/ui,4,858,177855,2026-03-05T09:56:58.906000Z,4d,10,True,75.1,repo,https://github.com/shadcn-ui/ui,,0.978125,0.469074,0.637622,1.0,1.0,0.857969
5,official,5,2.3598345260831453,0.821845,Supabase,/supabase/supabase,/supabase/supabase,13,5141,1767633,2026-03-06T18:33:43.262000Z,3d,10,True,71.8,repo,https://github.com/supabase/supabase,,0.877191,0.59332,0.758747,1.0,1.0,0.892659
6,official,6,2.2544897650086733,0.786869,Claude Code,/anthropics/claude-code,/anthropics/claude-code,7,767,211503,2026-03-03T00:59:55.736000Z,7d,8.8,True,76.8,repo,https://github.com/anthropics/claude-code,,0.93205,0.461299,0.646761,0.88,1.0,0.803444
7,official,7,2.243470835987358,0.685387,LangGraph,/langchain-ai/langgraph,/langchain-ai/langgraph,45,226,65629,2026-02-28T22:42:29.438000Z,9d,9.2,True,76.2,repo,https://github.com/langchain-ai/langgraph,,0.760576,0.376671,0.585038,0.92,1.0,0.760751
8,official,8,2.208799205877184,0.770984,n8n,/n8n-io/n8n-docs,/n8n-io/n8n-docs,19,960,562330,2026-03-06T22:37:08.738000Z,3d,9.7,True,79.1,repo,https://github.com/n8n-io/n8n-docs,,0.842226,0.476865,0.698338,0.97,1.0,0.897172
9,official,9,2.0744611516786184,0.743712,React,/reactjs/react.dev,/reactjs/react.dev,58,2764,859904,2026-03-06T12:00:13.633000Z,3d,10,True,80,repo,https://github.com/reactjs/react.dev,,0.736176,0.550244,0.72074,1.0,1.0,0.885459
10,official,10,2.0442540876374267,0.774701,Tailwind CSS,/tailwindlabs/tailwindcss.com,/tailwindlabs/tailwindcss.com,22,1897,500822,2026-03-05T15:56:01.478000Z,4d,10,True,79.3,repo,https://github.com/tailwindlabs/tailwindcss.com,,0.828525,0.52412,0.692228,1.0,1.0,0.864131
11,official,11,1.999502881650475,,/websites/tailwindcss,/websites/tailwindcss,/websites/tailwindcss,,,,,,,,,,,,,,,,,
12,official,12,1.9716072596166276,,/websites/react_dev,/websites/react_dev,/websites/react_dev,,,,,,,,,,,,,,,,,
13,official,13,1.9232991771160908,0.739987,MongoDB,/mongodb/docs,/mongodb/docs,50,10732,2903873,2025-12-28T01:02:17.452000Z,2mo,9.1,True,65.9,repo,https://github.com/mongodb/docs,,0.75046,0.644415,0.78493,0.91,1.0,0.293147
14,official,14,1.5423334270927391,0.827645,Prisma,/prisma/docs,/prisma/docs,11,5426,1436801,2026-03-06T16:34:03.023000Z,3d,10,True,86,repo,https://github.com/prisma/docs,,0.892303,0.597066,0.747817,1.0,1.0,0.890457
15,official,15,1.3472223908015164,,/websites/ui_shadcn,/websites/ui_shadcn,/websites/ui_shadcn,,,,,,,,,,,,,,,,,
16,official,16,1.3322138495483453,,/websites/vercel,/websites/vercel,/websites/vercel,,,,,,,,,,,,,,,,,
17,official,17,1.2911883925504017,,/websites/platform_openai,/websites/platform_openai,/websites/platform_openai,,,,,,,,,,,,,,,,,
18,official,18,1.2003244462434055,0.776095,TanStack Query,/tanstack/query,/tanstack/query,10,1113,267965,2026-03-06T14:29:47.970000Z,3d,8,True,91.5,repo,https://github.com/tanstack/query,,0.900832,0.487123,0.659242,0.8,1.0,0.888182
19,official,19,1.1548871958250502,,/websites/ai-sdk_dev,/websites/ai-sdk_dev,/websites/ai-sdk_dev,,,,,,,,,,,,,,,,,
20,official,20,1.0822614768636794,0.770076,Payload,/payloadcms/payload,/payloadcms/payload,23,2276,627803,2026-03-04T18:54:41.926000Z,5d,9.4,True,90.1,repo,https://github.com/payloadcms/payload,,0.824353,0.536761,0.704147,0.94,1.0,0.842865
21,official,21,1.055157444558375,0.751523,FastAPI,/fastapi/fastapi,/fastapi/fastapi,24,715,227572,2026-03-06T15:53:08.031000Z,3d,9.9,True,80.8,repo,https://github.com/fastapi/fastapi,,0.820351,0.456431,0.650624,0.99,1.0,0.889707
22,official,22,1.0436952252890754,0.688449,FastMCP,/jlowin/fastmcp,/jlowin/fastmcp,48,223,57991,2026-03-06T07:54:24.391000Z,4d,9.3,True,71.7,repo,https://github.com/jlowin/fastmcp,,0.754382,0.375748,0.578512,0.93,1.0,0.88102
23,official,23,1.041225465336022,,/websites/developer_apple_swiftui,/websites/developer_apple_swiftui,/websites/developer_apple_swiftui,,,,,,,,,,,,,,,,,
24,official,24,1.0271457226976743,,/websites/ai_google_dev_gemini-api,/websites/ai_google_dev_gemini-api,/websites/ai_google_dev_gemini-api,,,,,,,,,,,,,,,,,
25,official,25,1.0017515242060224,,/openclaw/openclaw,/openclaw/openclaw,/openclaw/openclaw,,,,,,,,,,,,,,,,,
26,official,26,1.001561542671172,0.765437,Drizzle ORM,/drizzle-team/drizzle-orm-docs,/drizzle-team/drizzle-orm-docs,15,1914,425355,2026-03-05T13:54:19.012000Z,4d,7.6,True,88.3,repo,https://github.com/drizzle-team/drizzle-orm-docs,,0.864101,0.524739,0.683613,0.76,1.0,0.862032
27,official,27,0.9729798762059211,0.74961,Expo,/expo/expo,/expo/expo,41,2514,758229,2026-02-28T08:52:15.986000Z,10d,10,True,80.3,repo,https://github.com/expo/expo,,0.769494,0.543664,0.714103,1.0,1.0,0.749789
28,official,28,0.9489472120473624,0.76575,Playwright,/microsoft/playwright,/microsoft/playwright,31,3323,821596,2026-03-01T00:53:36.403000Z,9d,9.9,True,92.5,repo,https://github.com/microsoft/playwright,,0.796151,0.563028,0.718337,0.99,1.0,0.762512
29,official,29,0.9374849927780631,0.701714,Pydantic AI,/pydantic/pydantic-ai,/pydantic/pydantic-ai,76,879,282745,2026-03-05T06:26:09.056000Z,5d,9.6,True,71.1,repo,https://github.com/pydantic/pydantic-ai,,0.710074,0.470751,0.662073,0.96,1.0,0.854391
